"","X","Male","ParentEduc","LunchDiscount","TestPrep","PracticeSport","IsFirstChild","NrSiblings","PrivateTransport","WklyStudyHours","EthnicGroupA","EthnicGroupB","EthnicGroupC","EthnicGroupD","EthnicGroupE","ParentDivorced","ParentMarried","ParentSingle","ParentWidowed","MathScore","ReadingScore","WritingScore","AggregateScore"
"3",2,0,6,0,0,2,1,4,0,2,0,1,0,0,0,0,0,1,0,87,93,91,271
"5",4,1,3,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,76,78,75,229
"6",5,0,4,0,0,3,1,1,0,1,0,1,0,0,0,0,1,0,0,73,84,79,236
"7",6,0,3,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,85,93,89,267
"8",7,1,3,1,0,2,1,1,1,3,0,1,0,0,0,0,1,0,0,41,43,39,123
"9",8,1,2,1,1,2,0,3,1,3,0,0,0,1,0,0,0,1,0,65,64,68,197
"12",11,1,4,0,0,2,1,1,0,1,0,0,0,1,0,1,0,0,0,40,52,43,135
"13",12,0,2,0,0,3,0,1,1,1,0,1,0,0,0,0,1,0,0,66,82,74,222
"14",13,1,3,0,1,2,1,1,1,3,1,0,0,0,0,0,0,1,0,80,73,71,224
"15",14,0,6,0,0,2,1,2,1,2,1,0,0,0,0,1,0,0,0,48,53,58,159
"18",17,0,1,1,0,2,1,1,0,1,0,1,0,0,0,1,0,0,0,18,32,28,78
"19",18,1,6,1,1,2,0,1,1,1,0,0,1,0,0,0,0,1,0,46,42,47,135
"20",19,0,4,1,0,1,1,3,1,2,0,0,1,0,0,0,1,0,0,50,56,58,164
"21",20,1,2,0,0,2,1,5,0,1,0,0,0,1,0,0,1,0,0,66,69,63,198
"22",21,0,3,1,1,2,0,2,0,1,0,1,0,0,0,0,1,0,0,65,75,70,210
"26",25,1,6,1,0,3,1,1,0,1,1,0,0,0,0,0,1,0,0,75,76,76,227
"27",26,1,3,0,0,2,1,5,0,2,0,1,0,0,0,0,1,0,0,66,53,53,172
"28",27,0,5,0,0,2,1,4,0,3,0,0,1,0,0,0,1,0,0,69,70,76,215
"29",28,1,2,0,0,2,0,1,1,1,0,0,1,0,0,0,1,0,0,70,70,65,205
"30",30,0,3,0,0,2,1,0,1,2,0,0,0,1,0,0,0,1,0,66,72,72,210
"32",32,0,6,1,0,2,1,1,0,1,0,0,0,0,1,1,0,0,0,56,73,66,195
"36",36,0,4,0,0,3,0,2,1,1,0,0,0,1,0,0,1,0,0,76,82,85,243
"37",37,0,1,1,0,3,1,1,1,1,0,0,0,1,0,0,1,0,0,51,64,60,175
"38",38,0,4,1,1,3,0,1,0,1,0,0,0,1,0,0,1,0,0,77,91,90,258
"39",39,1,4,1,0,3,1,5,0,1,0,1,0,0,0,0,0,1,0,58,56,58,172
"40",40,1,4,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,53,60,52,165
"43",44,0,4,1,0,2,1,5,0,2,0,0,0,0,1,0,1,0,0,48,55,52,155
"44",45,1,4,0,0,2,1,3,0,2,0,1,0,0,0,0,0,1,0,63,53,55,171
"49",52,1,3,0,0,3,1,3,0,3,0,0,1,0,0,1,0,0,0,56,45,43,144
"50",53,1,2,0,0,2,1,2,0,1,0,0,0,1,0,0,0,1,0,88,78,75,241
"52",55,0,2,1,0,2,1,2,1,1,0,0,1,0,0,1,0,0,0,33,41,43,117
"53",56,0,4,0,1,2,1,3,0,3,0,0,0,0,1,0,1,0,0,84,86,87,257
"54",57,1,4,0,0,2,0,2,1,1,0,0,0,1,0,0,0,1,0,52,55,49,156
"56",59,0,1,1,0,3,1,3,0,3,0,0,1,0,0,0,0,1,0,0,17,10,27
"58",62,1,4,1,0,2,1,5,1,1,1,0,0,0,0,0,1,0,0,62,61,55,178
"59",64,0,1,0,0,2,1,0,0,1,0,0,0,1,0,0,1,0,0,59,58,59,176
"60",65,1,1,0,0,1,1,1,1,2,0,1,0,0,0,0,1,0,0,63,62,58,183
"61",66,1,1,1,0,2,1,4,0,1,0,0,0,1,0,0,1,0,0,45,37,37,119
"62",67,0,3,0,0,3,0,3,0,1,0,0,1,0,0,0,1,0,0,61,73,75,209
"64",69,0,4,0,0,2,1,3,0,1,0,0,1,0,0,0,0,1,0,39,64,57,160
"65",71,1,3,0,1,2,1,3,1,3,0,0,0,1,0,1,0,0,0,64,55,64,183
"66",72,0,4,1,0,3,1,1,1,1,1,0,0,0,0,0,0,1,0,42,51,49,142
"67",73,1,1,1,0,1,1,3,0,1,0,0,1,0,0,1,0,0,0,59,56,54,169
"72",78,0,1,0,1,2,1,2,0,3,0,0,0,1,0,1,0,0,0,62,75,73,210
"73",79,0,6,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,60,68,68,196
"74",80,0,4,0,0,3,1,0,1,3,0,1,0,0,0,0,1,0,0,49,50,52,151
"77",83,1,4,0,0,3,1,0,1,1,0,0,0,0,1,0,1,0,0,74,64,64,202
"79",85,0,3,0,0,2,1,0,1,1,0,0,1,0,0,1,0,0,0,73,80,82,235
"81",87,0,4,0,0,2,1,0,1,1,0,0,0,1,0,0,0,1,0,71,71,74,216
"82",88,0,3,0,0,3,1,3,0,2,1,0,0,0,0,1,0,0,0,57,69,67,193
"86",93,1,4,1,1,3,0,3,1,3,0,0,1,0,0,0,1,0,0,45,46,52,143
"87",94,0,3,0,0,3,1,4,1,1,0,1,0,0,0,0,1,0,0,81,87,94,262
"88",96,1,1,0,1,3,1,5,0,1,0,1,0,0,0,0,1,0,0,63,65,61,189
"91",99,0,5,0,0,3,1,3,0,2,0,0,0,1,0,0,1,0,0,64,66,62,192
"92",100,1,3,0,0,2,0,7,0,1,0,1,0,0,0,0,1,0,0,79,67,67,213
"93",101,1,5,0,1,2,0,1,1,1,0,0,0,1,0,0,0,1,0,68,74,74,216
"94",102,0,4,0,0,3,1,3,0,1,0,0,0,1,0,0,1,0,0,87,92,91,270
